PHR Address,Snapshot 1,Snapshot 2,Snapshot 3,Snapshot 4,Snapshot 5,Snapshot 6
PHZAL7keUDfe9Ww4cCasp7nzzv2bs6DZQT,72164.87503433,72164.87503433,0.00000000,0.00000000,0.00000000,0.00000000
PJNmXcQUXfGzW79dSgUmYyjDWCxrUFodik,0.00000000,0.00000000,143846.98000000,0.00000000,0.00000000,0.00000000
PEEZ2MMsi7iveeH2dY7WvkZkwL38nnKxxD,23927.69902311,23927.69902311,23927.69902311,23927.69902311,23927.69902311,23927.69902311
PE3ZPQNbDyUpHHsa4nsFYztbqsbwNr28L1,23781.72512764,23781.72512764,23781.72512764,23781.72512764,23781.72512764,23781.72512764
PSb6nurAZHSAHSu1x5WfPnEAmqMx821Wxq,24237.36785432,24424.20785432,24463.08785432,24588.36785432,21835.89820205,21869.37820205
PH4ZFdqoCjLMhiwDMuW21AoZBkXcKRmvPi,139999.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PLwa2MDmdzWe4qGWsqV8xiYAmZZF4k71t5,0.00000000,139974.65135644,0.00000000,0.00000000,0.00000000,0.00000000
PEfwFTU5PgycV3NuaCYMYBddarwMZcrkn1,23234.09894589,23234.09894589,23234.09894589,23234.09894589,23234.09894589,23234.09894589
PFz3mwmjr5vvwVc5HZwbMAq91SSHAMdebm,23023.52000000,23074.28000000,23109.92000000,23143.40000000,23172.56000000,23174.72000000
P8eBwSjTqpc9TDx1prXDBaoT3mA8aHCCKP,23100.00000000,23100.00000000,23100.00000000,23100.00000000,23100.00000000,23100.00000000
PCaz267buozhgihorDun1Wq8pxvEUP1NQz,22419.49480931,22651.69480931,22892.53480931,23116.09480931,23269.45480931,23433.61480931
PMf8YfmM5ZMz5WesR2k9LxFzp9J6SwDjZU,21861.80000000,22119.92000000,22408.28000000,22715.00000000,23026.04000000,23261.48000000
PDB1ApCfqHqXnK4WifGA93KKP3qyv6QsZU,134363.96966334,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PBKagVfBvb5shCF6xNBLYcA7o1aDZuwYBh,33352.47663600,33358.95663600,33358.95663600,33362.19663600,0.00000000,0.00000000
PRy2svijWsYk8y4kk73eezprqyhBHhabCJ,22013.67425305,22013.67425305,22013.67425305,22013.67425305,22013.67425305,22013.67425305
PCP8nYAKiZQ6BJBGahyqdfNks1oj8G7W2a,21867.00354292,21899.40354292,21970.68354292,22073.28354292,22099.20354292,22108.92354292
